date,working_capital,variable
7/1/1974,5.7,11.9
8/1/1974,5.3,12.5
9/1/1974,5.7,11.2
10/1/1974,5.5,9.9
11/1/1974,6.2,9.6
12/1/1974,6.7,12.7
1/1/1975,9,11.2
2/1/1975,9.1,9.9
3/1/1975,9.1,11.5
4/1/1975,8.6,10.8
5/1/1975,8.3,12.9
6/1/1975,9.1,13.7
7/1/1975,8.7,17.7
8/1/1975,8.2,18.5
9/1/1975,8.1,18.1
10/1/1975,7.8,17.4
11/1/1975,7.8,16.1
12/1/1975,7.8,18.3
1/1/1976,8.8,16.5
2/1/1976,8.7,14.6
3/1/1976,8.1,15.8
4/1/1976,7.4,14.8
5/1/1976,6.8,15.5
6/1/1976,8,15.3
7/1/1976,7.8,18
8/1/1976,7.6,17.2
9/1/1976,7.4,16.2
10/1/1976,7.2,14.8
11/1/1976,7.4,13.5
12/1/1976,7.4,15.7
1/1/1977,8.3,13.9
2/1/1977,8.5,12.5
3/1/1977,7.9,13.5
4/1/1977,6.9,13.6
5/1/1977,6.4,14.7
6/1/1977,7.5,14.7
7/1/1977,7,15.9
8/1/1977,6.8,16.9
9/1/1977,6.6,15.4
10/1/1977,6.4,13
11/1/1977,6.5,12.3
12/1/1977,6,14.7
1/1/1978,7.1,12.7
2/1/1978,6.9,11.9
3/1/1978,6.6,12.3
4/1/1978,5.8,11.2
5/1/1978,5.5,12.1
6/1/1978,6.2,11.6
7/1/1978,6.3,14.4
8/1/1978,5.9,15.1
9/1/1978,5.8,14
10/1/1978,5.4,11.6
11/1/1978,5.6,9.8
12/1/1978,5.7,11.7
1/1/1979,6.4,11.3
2/1/1979,6.4,9.6
3/1/1979,6.1,10.6
4/1/1979,5.5,10.4
5/1/1979,5.2,11.2
6/1/1979,6,11.8
7/1/1979,5.9,13.1
8/1/1979,5.9,13.4
9/1/1979,5.7,12.6
10/1/1979,5.6,10.6
11/1/1979,5.6,10.1
12/1/1979,5.7,11.6
1/1/1980,6.9,11.1
2/1/1980,6.8,10.1
3/1/1980,6.6,10.9
4/1/1980,6.7,10.7
5/1/1980,7.1,11
6/1/1980,7.8,12
7/1/1980,7.9,14.5
8/1/1980,7.6,14.6
9/1/1980,7.2,13.7
10/1/1980,7.1,13.3
11/1/1980,7.1,14.5
12/1/1980,6.9,16.2
